model_id,mechanism,analysis_unit,headroom_n,susceptibility_rate,susceptibility_ci_lower,susceptibility_ci_upper,switches_n,assimilation_n,assimilation_share,assimilation_wilson_ci_lower,assimilation_wilson_ci_upper,assimilation_cluster_ci_lower,assimilation_cluster_ci_upper,compliance_share
gemma4:12b,Authority,order_level_matched_observations,59,0.2727272727272727,0.13636363636363635,0.42424242424242425,15,11,0.7333333333333333,0.4804911034231324,0.8910272389681718,0.5383333333333333,0.9333333333333333,0.2666666666666667
gemma4:12b,Incentive,order_level_matched_observations,71,0.0,0.0,0.0,0,0,,,,,,
gemma4:12b,Social,order_level_matched_observations,71,0.13157894736842105,0.039473684210526314,0.23684210526315788,7,7,1.0,0.6456611570247934,1.0,1.0,1.0,0.0
gemma4:12b,Metric,order_level_matched_observations,69,0.11842105263157894,0.039473684210526314,0.21085526315789294,6,6,1.0,0.6096569663469354,0.9999999999999999,1.0,1.0,0.0
qwen3:14b,Authority,order_level_matched_observations,68,0.6527777777777778,0.5,0.7916666666666666,43,6,0.13953488372093023,0.06555634267713946,0.2726387659442569,0.047591362126245845,0.2619360902255639,0.8604651162790697
qwen3:14b,Incentive,order_level_matched_observations,70,0.07894736842105263,0.0,0.15789473684210525,3,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0
qwen3:14b,Social,order_level_matched_observations,69,0.14864864864864866,0.05405405405405406,0.25675675675675674,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253,0.5714285714285714,1.0,0.1428571428571429
qwen3:14b,Metric,order_level_matched_observations,71,0.12162162162162163,0.05405405405405406,0.20270270270270271,9,0,0.0,0.0,0.2991527535509594,0.0,0.0,1.0
