model,mechanism,delta_action,ci_lower,ci_upper,delta_judgment,delta_cc,sign_pos,sign_neg,sign_zero,n_scenarios
gemma4:12b,P1_authority_pressure,0.125,0.058333333333333334,0.20833333333333334,0.09166666666666666,0.03333333333333333,10,0,50,60
gemma4:12b,P2_incentive_pressure,-0.0234375,-0.0625,0.0,-0.0234375,0.0,0,2,62,64
gemma4:12b,P3_social_pressure,0.0546875,0.015625,0.1015625,0.0546875,0.0,6,0,58,64
gemma4:12b,P4_metric_pressure,0.0390625,-0.0078125,0.09375,0.0390625,0.0,6,2,56,64
qwen3:14b,P1_authority_pressure,0.3359375,0.234375,0.4453125,0.0234375,0.3125,27,0,37,64
qwen3:14b,P2_incentive_pressure,-0.0078125,-0.0390625,0.0234375,-0.03125,0.015625,2,3,59,64
qwen3:14b,P3_social_pressure,0.0234375,-0.03125,0.078125,0.0390625,0.0,7,3,54,64
qwen3:14b,P4_metric_pressure,0.078125,0.03125,0.1328125,-0.015625,0.0859375,9,0,55,64
